GeogName,boro_cd,Count,Population,Median Household income,SNAP,Below Poverty level,Center per pop
QN14 The Rockaways (CD 14 Equivalent),414,8,"130,562","66,899","11,524","24,945",16320
QN80 LaGuardia Airport (JIA 80 Approximation),480,0,0,,0,0,0
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),481,0,0,,0,0,0
QN82 Forest Park (JIA 82 Approximation),482,0,0,,0,0,0
QN83 JFK International Airport (JIA 83 Approximation),483,0,0,,0,0,0
QN84 Jamaica Bay (East) (JIA 84 Approximation),484,0,8,"200,000",0,0,0
SI01 North Shore (CD 1 Equivalent),501,15,"181,349","85,767","12,358","28,402",12090
SI02 Mid-Island (CD 2 Approximation),502,4,"142,132","95,190","5,706","14,686",35533
SI03 South Shore (CD 3 Approximation),503,3,"168,729","118,478","3,996","10,081",56243
SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),595,0,524,"92,141",6,8,0
